,QID,Name,P21,P21ref,P91,P91ref,P6553,P6553ref,pronounsEn
1043407,Q448193,Sadie Benning,non-binary,,,,,,
1046734,Q6791824,Mattilda Bernstein Sycamore,genderqueer,,,,L484,,she/her
1050669,Q185178,Vaniity,transgender female,,,,,,
1053917,Q5703410,Helen Wong,transgender female,,,,,,
1055644,Q211040,Rose McGowan,non-binary,,,,L484,,she/her
1056327,Q5693761,Zac Brewer,transgender male,,,,,,
1057916,Q101823585,Kimber Haven,transgender female,,,,,,
1059224,Q16138640,Tanwarin Sukkhapisit,non-binary,,,,L371,,they/them
1059225,Q16138640,Tanwarin Sukkhapisit,genderqueer,,,,L371,,they/them
1060224,Q107639586,Valentina Petrillo,transgender female,,,,,,
1062626,Q74813,Mina Caputo,transgender female,,,,,,
1063927,Q16302527,Topacio Fresh,transgender female,,,,,,
1064965,Q185735,S. Bear Bergman,transgender male,,,,,,
1065706,Q2379965,Thomas Beatie,transgender male,,,,,,
1067480,Q7037856,Nina Arsenault,transgender female,,,,,,
1067707,Q7680943,Tess Berry-Hart,non-binary,,,,L371,,they/them
1068022,Q11331543,Pyuupiru,transgender female,,,,,,
1069058,Q16201372,Peaches Christ,transgender female,,,,,,
1082106,Q15707320,Q15707320,male organism,,,,,,
1086590,Q6296878,Jowelle de Souza,transgender female,,,,,,
1086608,Q6395780,Kevin Barnes,non-binary,,,,L371,,they/them
1086609,Q6395780,Kevin Barnes,genderqueer,,,,L371,,they/them
1086610,Q6395780,Kevin Barnes,non-binary,,,,L484,,she/her
1086611,Q6395780,Kevin Barnes,genderqueer,,,,L484,,she/her
1086612,Q6395780,Kevin Barnes,non-binary,,,,L485,,he/him
1086613,Q6395780,Kevin Barnes,genderqueer,,,,L485,,he/him
1087456,Q25633826,Olivia Love,transgender female,,,,,,
1087599,Q41634483,Gavin Rayna Russom,transgender female,,,,,,
1089853,Q24004782,Meg John Barker,non-binary,,,,L371,,they/them
1090168,Q62027776,Anastasia Biefang,transgender female,,,,,,
1092377,Q30315610,Coco Montrese,transgender female,,,,,,
1093801,Q5459810,Flo McGarrell,transgender male,,,,,,
1095537,Q185735,S. Bear Bergman,transgender male,,,,,,
1095971,Q3017602,Sabrina Calvo,transgender female,,,,,,
1096587,Q7460372,Shadi Petosky,transgender female,,,,,,
1097121,Q19578171,Natalie van Gogh,transgender female,,,,,,
1097142,Q19950105,Ricardo del Real,transgender male,,,,,,
1097321,Q28363459,Lauren Jeska,transgender female,,,,,,
1097492,Q56650879,Zenobia Żaczek,transgender female,,,,,,
1099088,Q9299826,Bárbara Paz,non-binary,,,,,,
1099089,Q9299826,Bárbara Paz,bigender,,,,,,
1103384,Q6013188,Ina Fried,transgender female,,,,L484,,she/her
1103604,Q7386137,Rémy Noë,transgender male,,,,,,
1104778,Q105037709,Coco Marusix,transgender female,,,,,,
1104799,Q107444649,Joyce Gabiola,non-binary,,,,,,
1106246,Q4764884,Animal Prufrock,non-binary,,,,,,
1108013,Q11411413,Kajū Koizumi,t610058038,,,,,,
1109033,Q16201313,Reuben Zellman,non-binary,,,,L485,,he/him
1109034,Q16201313,Reuben Zellman,intersex,,,,L485,,he/him
1109592,Q18206463,Dorian Wood,non-binary,,,,,,
1111268,Q29656075,Sean Dorsey,transgender male,,,,,,
1111278,Q29894468,Alia Dannenberg,transgender female,,,,,,
1111682,Q42121083,Nina Poon,transgender female,,,,,,
1113629,Q63079529,Ayako Fuchigami,transgender female,,,,,,
1115764,Q92661043,Momoko Aida,intersex,,,,,,
1116703,Q95797905,Philippa Jarke,transgender female,,,,,,
1117687,Q100973294,Clémence Zamora-Cruz,transgender female,,,,,,
1118964,Q482786,Harisu,transgender female,,,,,,
1123622,Q260570,Karin Dreijer,genderfluid,,,,L303200,,L303200
1123623,Q260570,Karin Dreijer,genderfluid,,,,L371,,they/them
1124198,Q4724799,Ali Forney,transgender male,,,,,,
1124375,Q6136424,Susie Pop,transgender female,,,,,,
1125630,Q61818978,Kat Williams,non-binary,,,,L371,,they/them
1129804,Q16149690,Nikki Araguz,transgender female,,,,,,
1132289,Q16215308,Stephanie Hirst,transgender female,,,,,,
1133987,Q4755100,Andrea Gibson,non-binary,,,,L371,,they/them
1135739,Q40069,Sara Ramirez,non-binary,,pansexuality,,L371,,they/them
1135740,Q40069,Sara Ramirez,non-binary,,bisexuality,,L371,,they/them
1135741,Q40069,Sara Ramirez,non-binary,,pansexuality,,L484,,she/her
1135742,Q40069,Sara Ramirez,non-binary,,bisexuality,,L484,,she/her
1139450,Q16677490,Sony Chan,non-binary,,,,,,
1141192,Q6829330,Michael Cohen,transgender male,,,,,,
1141591,Q13107682,Fallon Fox,transgender female,,,,,,
1144938,Q503797,Aderet,transgender female,,,,,,
1146329,Q4934913,Bobby Darling,transgender female,,,,,,
1149961,Q25460025,Kiss Tibor Noé,transgender female,,,,,,
1157093,Q107302788,Phylesha Brown-Acton,transgender female,,,,,,
1160334,Q536097,Florencia de la V,transgender female,,,,,,
1160335,Q536097,Florencia de la V,travesti,,,,,,
1161095,Q6023712,Ayta Sözeri,transgender female,,,,,,
1161239,Q7289880,Ramon Te Wake,transgender female,,,,,,
1165698,Q3559238,Wendy Williams,transgender female,,,,,,
1165933,Q5376629,Endry Cardeño Cilantro,transgender female,,,,,,
1171447,Q16201505,Kelly Mantle,genderfluid,,,,,,
1171785,Q27098504,Sofía Guadarrama Collado,transgender female,,,,,,
1171910,Q47367767,Claudia Salazar Jiménez,transgender female,,,,,,
1173436,Q7820895,Tonette Lopez,transgender female,,,,,,
1176781,Q55314964,R. B. Lemberg,non-binary,,,,L371,,they/them
1176888,Q64138870,Alex Jürgen,intersex,,,,,,
1179232,Q62061854,Gemma Hickey,non-binary,,,,L371,,they/them
1183750,Q63184799,Stephanie Yellowhair,transgender female,,,,,,
1185410,Q4718062,Alex von Tunzelmann,cisgender female,,,,,,
1185655,Q5246478,Dean Spade,transgender male,,,,,,
1185804,Q5671827,Amaranta Gómez Regalado,transgender female,,,,,,
1186264,Q6827987,Micha Cárdenas,transgender female,,,,,,
1186852,Q11227409,Kab,transgender male,,,,,,
1187679,Q16148085,Nadia Almada,transgender female,,,,,,
1189410,Q28316761,Syrus Marcus Ware,transgender male,,,,,,
1191771,Q63115402,Hans Kellett,intersex,,,,,,
1196119,Q107392207,Víctor Gil,transgender male,,,,,,
1198927,Q11504,Kate Craig-Wood,transgender female,,,,,,
1199445,Q3357220,Océan,transgender male,,,,,,
1201680,Q1159236,Dana Simpson,transgender female,,,,L484,,she/her
1203057,Q22957923,Naomy,transgender female,,,,,,
1205211,Q15834076,Tessa Ganserer,transgender female,,,,,,
1206307,Q98098911,Lady Red Couture,transgender female,,,,,,
1206465,Q453573,Vicki Richter,transgender female,,,,,,
1208048,Q27514601,Tiffany Jana,non-binary,,,,L371,,they/them
1208049,Q27514601,Tiffany Jana,genderfluid,,,,L371,,they/them
1208850,Q450833,Gia Darling,transgender female,,,,,,
1209647,Q6439763,Krystal Casey Welborn,transgender female,,,,,,
1210544,Q27347743,Jeffrey Marsh,non-binary,,,,L371,,they/them
1210864,Q66084620,M. R. X. Dentith,non-binary,,,,L371,,they/them
1213252,Q63131353,Hime Muto,transgender female,,,,,,
1215068,Q12501502,Asha Smara Darra,transgender female,,,,,,
1215501,Q30070292,Abhina Aher,transgender female,,,,,,
1216990,Q6375274,Katastrophe,transgender male,,,,,,
1217595,Q18044716,Ts Madison,transgender female,,,,,,
1217840,Q29855634,Alexis Marie Rivera,transgender female,,,,,,
1223859,Q3476794,Seanan McGuire,cisgender female,,demisexuality,,,,
1223860,Q3476794,Seanan McGuire,cisgender female,,pansexuality,,,,
1223861,Q3476794,Seanan McGuire,cisgender female,,bisexuality,,,,
1224636,Q6146739,Jamie Clayton,transgender female,,,,,,
1225962,Q12974140,Q12974140,male organism,,,,,,
1226988,Q19832440,Iain Morland,intersex,,,,,,
1227071,Q20066843,Diva Monro,transgender female,,,,,,
1229208,Q54400813,Sara Tilley,cisgender female,,bisexuality,,L484,,she/her
1229334,Q55293278,Roey Heifetz,transgender female,,,,,,
1230137,Q60835946,Luisa Marilac,transgender female,,,,,,
1232163,Q87075411,Karla Avelar,transgender female,,,,,,
1232702,Q95201814,Laurie Marhoefer,t553738149,,,,L484,,she/her
1232703,Q95201814,Laurie Marhoefer,t553738149,,,,L485,,he/him
1233409,Q98841379,Roey Victoria Heifetz,transgender female,,,,,,
1234116,Q104156437,Terra Lawson-Remer,non-binary,,,,,,
1236860,Q29002409,Laurel Hubbard,transgender female,,,,,,
1237324,Q108370229,Symmy Larrat,transgender female,,,,,,
1237325,Q108370229,Symmy Larrat,travesti,,,,,,
1237767,Q1990992,Azis,non-binary,,,,,,
1238338,Q6180728,Mya Byrne,transgender female,,,,,,
1238386,Q6500248,Lauren Harries,transgender female,,,,,,
1238571,Q9010833,Jaqueline Jesus,transgender female,,,,,,
1239183,Q27450436,Jemma Redmond,intersex,,,,,,
1239418,Q47528057,Shea Diamond,transgender female,,,,,,
1240862,Q7086209,Agata Oleksiak,non-binary,,,,,,
1241521,Q22007113,Nahshon Ratcliff,transgender female,,,,,,
1243332,Q7809669,Tista Das,transgender female,,,,,,
1247892,Q4971589,Brittany CoxXx,transgender female,,,,,,
1248776,Q23901866,Isa Noyola,transgender female,,,,,,
1251713,Q76823906,Natassia Dreams,transgender female,,,,,,
1255235,Q5999641,Marlene Wayar,transgender female,,,,,,
1255236,Q5999641,Marlene Wayar,travesti,,,,,,
1257053,Q777444,Gabbi Tuft,transgender female,,,,L484,,she/her
1257365,Q3543017,Rakhi Sawant,transgender female,,,,,,
1259778,Q4897723,Bethany Black,transgender female,,lesbianism,,,,
1261770,Q934076,Chris Pureka,genderqueer,,,,L484,,she/her
1261929,Q1460011,Vindsval,t2362053033,,,,,,
1263332,Q6505228,Laxmi Narayan Tripathi,transgender female,,,,,,
1263562,Q7384482,Ryan Sallans,transgender male,,,,,,
1264616,Q16204372,Yoon Ha Lee,transgender male,,,,,,
1264702,Q16223335,Dylan Orr,transgender male,,,,,,
1265683,Q23656158,Lucianne M. Walkowicz,non-binary,,,,L371,,they/them
1265919,Q28233055,Rémy Huberdeau,transgender male,,,,,,
1267640,Q58145622,Alexandre Baril,transgender male,,,,,,
1271468,Q100154032,Sarah Hennies,transgender person,,,,,,
1271469,Q100227876,Iyabo Abade,intersex,,,,,,
1272068,Q106611459,Jena Selle,transgender female,,,,L9188,,she/her
1272069,Q106611459,Jena Selle,transgender female,,,,L484,,she/her
1272300,Q107297574,Stephanie Barrett,transgender female,,,,,,
1273542,Q4740851,Amazon Eve,transgender female,,,,,,
1273946,Q11955926,Christine Harstad Schuff,transgender female,,,,,,
1274450,Q55108664,Domani Anastasiia Yeva,transgender female,,,,,,
1274568,Q26210993,Tarah Wheeler,cisgender female,,,,,,
1275871,Q4769784,Annunziata Rees-Mogg,cisgender female,,,,,,
1276471,Q11612000,Mineko Nōmachi,transgender female,,,,,,
1276744,Q16735892,Olivia Ciappa,transgender female,,,,,,
1277497,Q94733244,Adrian Angelico,transgender male,,,,,,
1277935,Q445069,Camilla de Castro,transgender female,,,,,,
1278344,Q3860837,Monica Romano,transgender female,,,,,,
1279145,Q12979737,Q12979737,male organism,,,,,,
1279479,Q23409593,Nisha Ayub,transgender female,,,,,,
1284786,Q60050810,ruin,transgender female,,,,,,
1287071,Q28045771,Luiza Coppieters,transgender female,,,,,,
1289808,Q64030703,Ser Anzoategui,non-binary,,,,L371,,they/them
1293386,Q4754807,Andre J.,non-binary,,,,,,
1293387,Q4754807,Andre J.,agender,,,,,,
1295671,Q3557213,Danielle Foxxx,transgender female,,,,,,
1296634,Q18686595,Lee Harrington,transgender male,,,,,,
1298398,Q7369225,Sophie Campbell,transgender female,,,,,,
1298982,Q20683861,Ruth Baldacchino,non-binary,,,,L371,,they/them
1298983,Q20683861,Ruth Baldacchino,intersex,,,,L371,,they/them
1299239,Q52686584,Tona Brown,transgender female,,,,,,
1300703,Q3524612,Rose Venkatesan,transgender female,,,,,,
1300856,Q4277998,Q4277998,transgender female,,,,,,
1302456,Q11664361,Otone,t2396864376,,,,,,
1303114,Q16201303,Chris Mosier,transgender male,,,,,,
1303116,Q16201562,Peppermint,transgender female,,,,,,
1303543,Q17627823,Víctor Hugo Pérez Peñaloza,genderfluid,,,,,,
1303564,Q18066876,DJ Kayz,non-binary,,,,,,
1304177,Q21556347,L.J. Roberts,non-binary,,,,L371,,they/them
1304182,Q21592095,Dia Davina,non-binary,,,,L371,,they/them
1304238,Q22123514,ASAKURA KATE,transgender female,,,,,,
1304239,Q22123514,ASAKURA KATE,intersex,,,,,,
1306156,Q52274646,Fox Fisher,non-binary,,,,L371,,they/them
1306545,Q56025857,Constanza Costa,transgender female,,,,,,
1306552,Q56084394,Clyde Petersen,transgender male,,,,,,
1307955,Q66478562,Nicky Bandini,transgender female,,,,,,
1308153,Q73729730,Edie Fake,transgender male,,,,,,
1310484,Q95691989,Tony McDade,transgender male,,,,,,
1310549,Q96585493,Claire Wolf,transgender female,,,,L484,,she/her
1311680,Q106489884,Taru Luojola,transgender female,,,,,,
1311848,Q107338446,Cláudia Andrade,transgender female,,,,,,
1311850,Q107338569,Dandara Ferreira,transgender female,,,,,,
1311859,Q107415322,Kahsennenhawe Sky-Deer,two-spirit,,non-heterosexuality,,,,
1311860,Q107415322,Kahsennenhawe Sky-Deer,two-spirit,,homosexuality,,,,
1313372,Q5090842,Chen Lili,transgender female,,,,,,
1313507,Q6098637,Seyhan Arman,transgender female,,,,,,
1319518,Q30279348,Megan Rohrer,non-binary,,,,L371,,they/them
1320174,Q261072,Miren Ibarguren,intersex,,,,,,
1320516,Q2233975,Kelly van der Veer,transgender female,,,,,,
1323207,Q3269430,miki mizuasa,transgender female,,,,,,
1324732,Q58196172,Ida Damgaard,non-binary,,,,L484,,she/her
1324749,Q60197380,Aleizah Morganna Martínez Bautista,transgender female,,,,,,
1324806,Q63537758,Morganna Love,transgender female,,,,,,
1325374,Q624166,Lee Si-yeon,transgender female,,,,,,
1327779,Q64931,Balian Buschbaum,transgender male,,,,,,
1328541,Q4080459,Mel Baggs,non-binary,,lesbianism,,L303626,,L303626
1328542,Q4080459,Mel Baggs,non-binary,,lesbianism,,L304664,,L304664
1329845,Q56669970,Mariana Genesio Peña,transgender female,,,,,,
1332797,Q107458512,Fran Bubani,transgender female,,,,,,
1333761,Q6203549,Jiz Lee,non-binary,,,,L371,,they/them
1336020,Q5748559,Laura Jane Grace,transgender female,,lesbianism,,,,
1336620,Q17308306,Pepe Julian Onziema,transgender male,,,,,,
1337291,Q76368905,Alexya Salvador,transgender female,,,,,,
1337292,Q76368905,Alexya Salvador,travesti,,,,,,
1338405,Q6432715,Kortney Ryan Ziegler,transgender male,,,,,,
1339162,Q24258689,Dominick Evans,non-binary,,,,L371,,they/them
1339163,Q24258689,Dominick Evans,non-binary,,,,L485,,he/him
1339301,Q36490522,Shakina Nayfack,non-binary,,,,,,
1339302,Q36490522,Shakina Nayfack,transgender female,,,,,,
1340075,Q867406,Cindy Thai Tai,transgender female,,,,,,
1341752,Q7281933,Rae Spoon,non-binary,,,,L371,,they/them
1341886,Q6873263,Miriam Rivera,transgender female,,,,,,
1342012,Q7937601,Vivek Shraya,transgender female,,,,,,
1343162,Q17006093,Simon Hanselmann,genderfluid,,,,,,
1344092,Q26944617,María Pachón Monge,transgender female,,,,,,
1344253,Q27983660,Amos Mac,transgender male,,,,,,
1345031,Q50747973,Yren Rotela,transgender female,,,,,,
1345032,Q50747973,Yren Rotela,travesti,,,,,,
1345771,Q60394500,David Homak,genderqueer,,,,,,
1345915,Q61002908,Lucy Meadows,transgender female,,,,,,
1345918,Q61048227,Alma Selimovic,genderfluid,,,,,,
1348722,Q97622025,Bregtje Visser,transgender female,,,,,,
1349227,Q101557775,Jessyca Sarmiento,transgender female,,,,,,
1349357,Q104813264,Patrick Cottrell,transgender male,,,,,,
1349857,Q108179374,Deidre Palacios,non-binary,,,,,,
1350875,Q2471083,Lea T,transgender female,,,,,,
1352341,Q48646116,Clovis Maillet,transgender male,,,,,,
1352349,Q50345162,AJ Mattioli,transgender male,,,,,,
1353535,Q4834208,B. Scott,non-binary,,,,L371,,they/them
1355523,Q433096,Santhi Soundarajan,intersex,,,,,,
1356283,Q6186917,Jesse Thorn,cisgender male,,heterosexuality,,,,
1356336,Q6558184,Lisa Lee Dark,intersex,,,,,,
1357182,Q24061138,Natasha Devon,cisgender female,,,,,,
1357944,Q15025,Audrey Tang,non-binary,,,,,,
1360124,Q61000617,Duda Salabert,transgender female,,,,,,
1360125,Q61000617,Duda Salabert,travesti,,,,,,
1361019,Q2668396,Parinya Charoenphol,transgender female,,,,,,
1363623,Q3559861,Holly Sweet,transgender female,,,,,,
1363971,Q6395579,Ketty Gabriele,transgender female,,,,,,
1364889,Q34251707,Juno Dawson,transgender female,,,,,,
1367548,Q58754309,Charlie Christina Martin,transgender female,,,,,,
1367781,Q89700273,Azul Rojas Marín,transgender female,,,,,,
1370048,Q52160300,Micha Meinderts,transgender male,,,,,,
1370542,Q108554276,Devanny Cardiel,transgender female,,,,,,
1374801,Q50345034,Jiggly Caliente,transgender female,,,,,,
1374836,Q56682600,Abril Zamora,transgender female,,,,,,
1374844,Q57100321,Erica Malunguinho,transgender female,,,,,,
1377115,Q34631317,Aleksa Lundberg,transgender female,,,,,,
1377578,Q102037779,Anucha Boonyawatana,transgender female,,,,,,
1379165,Q5741997,Camila Sosa Villada,transgender female,,,,,,
1380383,Q12955895,Jordan Raskopoulos,transgender female,,,,,,
1380981,Q17581477,Wu Tsang,transgender female,,,,,,
1381899,Q25324820,Misty Plowright,transgender female,,,,,,
1382614,Q39072810,Carly Usdin,non-binary,,,,,,
1382784,Q43078631,Ayanda Denge,transgender female,,,,,,
1383211,Q53844828,Alessandra Ramos Makkeda,transgender female,,,,,,
1383239,Q54849629,Mandy Mitchell,transgender female,,,,,,
1383483,Q56291911,Vanesa Campos,transgender female,,,,,,
1383984,Q60649737,Emily Gorcenski,transgender female,,bisexuality,,,,
1384265,Q64356062,Emily VanDerWerff,transgender female,,,,,,
1384276,Q64626577,Gazal Dhaliwal,transgender female,,,,,,
1384278,Q64667922,Aneesh Sheth,transgender female,,,,,,
1386029,Q87772207,Isabel Sandoval,transgender female,,,,,,
1388636,Q62536664,Jude Ellison Sady Doyle,non-binary,,,,L371,,they/them
1388652,Q62758730,Quinn Daley,non-binary,,,,L371,,they/them
1389534,Q5178572,Courtney Act,genderfluid,,,,L484,,she/her
1389535,Q5178572,Courtney Act,genderfluid,,,,L485,,he/him
1391076,Q106418162,Jericho Vincent,genderqueer,,,,,,
1392216,Q7148189,Patrícia Araújo,transgender female,,,,,,
1392790,Q16556733,Diane Marie Rodriguez Zambrano,transgender female,,,,,,
1393325,Q60567639,Tamra Bonvillain,transgender female,,,,,,
1395789,Q51337013,C. Riley Snorton,transgender male,,,,,,
1396043,Q87073184,Daniela Santiago,transgender female,,,,,,
1396174,Q98059681,Sarah Savage,transgender female,,,,,,
1397285,Q6410629,Kindness,non-binary,,,,L371,,they/them
1397833,Q15618822,Mina Orfanou,transgender female,,,,,,
1398315,Q42718679,Lawrence Rothman,genderfluid,,,,L371,,they/them
1402315,Q6803881,Jang Chae-won,transgender female,,,,,,
1403309,Q46995035,Phillipe Cunningham,transgender male,,,,,,
1403352,Q55402038,Rafalala,transgender female,,,,,,
1403448,Q64610545,Veronica Ivy,transgender female,,,,,,
1405771,Q26702650,RB Butcher,non-binary,,,,L371,,they/them
1405772,Q26702650,RB Butcher,non-binary,,,,L485,,he/him
1405967,Q61745721,Nyla Rose,transgender female,,,,,,
1406040,Q66458968,Amy Daly,transgender female,,,,,,
1407640,Q10381095,Thammy Miranda,transgender male,,,,,,
1407645,Q10489213,Ester Martin Bergsmark,transgender female,,,,,,
1408382,Q37533798,Nicole Killian,non-binary,,,,,,
1410479,Q16221844,Hari Kondabolu,cisgender male,,heterosexuality,,,,
1410552,Q16913156,Ophelia Pastrana,transgender female,,,,,,
1411609,Q1687603,Jer Adrianne Lelliott,transgender female,,,,,,
1413146,Q58050542,Nataša Maza,transgender female,,,,,,
1413333,Q34151827,Aitzole Araneta,transgender female,,,,,,
1416110,Q234598,Utada Hikaru,non-binary,,,,,,
1419499,Q19667423,Zackary Drucker,transgender female,,,,,,
1419810,Q21534238,Kalena Rios,transgender female,,,,,,
1419886,Q22088086,Tourmaline,transgender female,,,,,,
1420144,Q26210763,Aishwarya Rutuparna Pradhan,transgender female,,,,,,
1420272,Q27588765,Viima Lampinen,non-binary,,,,,,
1420490,Q29850905,Jia Qing Wilson-Yang,transgender female,,,,,,
1421716,Q56612688,Brian Michael Smith,transgender male,,,,,,
1421727,Q56703033,Mafuyu Konishi,transgender female,,bisexuality,,,,
